Season,Game #,Unique ID,Date,Team,Opponent,Team G,Opp G,Win Loss,Points,Referee,Team S,Opp S,Team SOT,Opp SOT,Team Fouls,Opp Fouls,Team Corner,Opp Corner,Team Yellows,Opp Yellow,Team Red,Opp Red
1993-94,20,Hamburg20,12/11/1993,Hamburg,Schalke 04,0,1,Loss,0,,,,,,,,,,,,,
1993-94,21,Hamburg21,2/12/1994,Hamburg,Freiburg,1,1,Draw,1,,,,,,,,,,,,,
1993-94,22,Hamburg22,2/19/1994,Hamburg,Leverkusen,2,1,Win,3,,,,,,,,,,,,,
1993-94,23,Hamburg23,2/26/1994,Hamburg,Dresden,1,1,Draw,1,,,,,,,,,,,,,
1993-94,24,Hamburg24,3/5/1994,Hamburg,Stuttgart,0,4,Loss,0,,,,,,,,,,,,,
1993-94,25,Hamburg25,3/12/1994,Hamburg,Leipzig,3,0,Win,3,,,,,,,,,,,,,
1993-94,26,Hamburg26,3/19/1994,Hamburg,Duisburg,1,0,Win,3,,,,,,,,,,,,,
1993-94,27,Hamburg27,3/26/1994,Hamburg,Bayern Munich,1,2,Loss,0,,,,,,,,,,,,,
1993-94,28,Hamburg28,4/2/1994,Hamburg,Wattenscheid,1,3,Loss,0,,,,,,,,,,,,,
1993-94,29,Hamburg29,4/6/1994,Hamburg,Dortmund,0,0,Draw,1,,,,,,,,,,,,,
1993-94,30,Hamburg30,4/9/1994,Hamburg,Werder Bremen,1,1,Draw,1,,,,,,,,,,,,,
1993-94,31,Hamburg31,4/16/1994,Hamburg,FC Koln,0,3,Loss,0,,,,,,,,,,,,,
1993-94,32,Hamburg32,4/23/1994,Hamburg,M'Gladbach,1,3,Loss,0,,,,,,,,,,,,,
1993-94,33,Hamburg33,4/30/1994,Hamburg,Ein Frankfurt,1,1,Draw,1,,,,,,,,,,,,,
1993-94,34,Hamburg34,5/7/1994,Hamburg,Kaiserslautern,1,3,Loss,0,,,,,,,,,,,,,
1993-94,1,Kaiserslautern1,8/7/1993,Kaiserslautern,FC Koln,2,0,Win,3,,,,,,,,,,,,,
1993-94,2,Kaiserslautern2,8/14/1993,Kaiserslautern,M'Gladbach,4,2,Win,3,,,,,,,,,,,,,
1993-94,3,Kaiserslautern3,8/21/1993,Kaiserslautern,Ein Frankfurt,0,1,Loss,0,,,,,,,,,,,,,
1993-94,4,Kaiserslautern4,8/28/1993,Kaiserslautern,Werder Bremen,2,3,Loss,0,,,,,,,,,,,,,
1993-94,5,Kaiserslautern5,9/1/1993,Kaiserslautern,Nurnberg,3,1,Win,3,,,,,,,,,,,,,
1993-94,6,Kaiserslautern6,9/4/1993,Kaiserslautern,Karlsruhe,1,1,Draw,1,,,,,,,,,,,,,
1993-94,7,Kaiserslautern7,9/8/1993,Kaiserslautern,Schalke 04,0,0,Draw,1,,,,,,,,,,,,,
1993-94,8,Kaiserslautern8,9/18/1993,Kaiserslautern,Freiburg,3,2,Win,3,,,,,,,,,,,,,
1993-94,9,Kaiserslautern9,9/25/1993,Kaiserslautern,Leverkusen,3,2,Win,3,,,,,,,,,,,,,
1993-94,10,Kaiserslautern10,10/2/1993,Kaiserslautern,Dresden,1,3,Loss,0,,,,,,,,,,,,,
1993-94,11,Kaiserslautern11,10/9/1993,Kaiserslautern,Stuttgart,5,0,Win,3,,,,,,,,,,,,,
1993-94,12,Kaiserslautern12,10/16/1993,Kaiserslautern,Leipzig,0,0,Draw,1,,,,,,,,,,,,,
1993-94,13,Kaiserslautern13,10/23/1993,Kaiserslautern,Duisburg,2,0,Win,3,,,,,,,,,,,,,
1993-94,14,Kaiserslautern14,10/30/1993,Kaiserslautern,Bayern Munich,0,4,Loss,0,,,,,,,,,,,,,
1993-94,15,Kaiserslautern15,11/6/1993,Kaiserslautern,Wattenscheid,4,1,Win,3,,,,,,,,,,,,,
1993-94,16,Kaiserslautern16,11/13/1993,Kaiserslautern,Dortmund,1,2,Loss,0,,,,,,,,,,,,,
1993-94,17,Kaiserslautern17,11/20/1993,Kaiserslautern,Hamburg,3,0,Win,3,,,,,,,,,,,,,
1993-94,18,Kaiserslautern18,11/27/1993,Kaiserslautern,FC Koln,3,0,Win,3,,,,,,,,,,,,,
1993-94,19,Kaiserslautern19,12/4/1993,Kaiserslautern,M'Gladbach,1,3,Loss,0,,,,,,,,,,,,,
1993-94,20,Kaiserslautern20,12/11/1993,Kaiserslautern,Ein Frankfurt,1,1,Draw,1,,,,,,,,,,,,,
1993-94,21,Kaiserslautern21,2/12/1994,Kaiserslautern,Werder Bremen,0,2,Loss,0,,,,,,,,,,,,,
1993-94,22,Kaiserslautern22,2/19/1994,Kaiserslautern,Nurnberg,2,0,Win,3,,,,,,,,,,,,,
1993-94,23,Kaiserslautern23,2/26/1994,Kaiserslautern,Karlsruhe,0,0,Draw,1,,,,,,,,,,,,,
1993-94,24,Kaiserslautern24,3/5/1994,Kaiserslautern,Schalke 04,0,2,Loss,0,,,,,,,,,,,,,
1993-94,25,Kaiserslautern25,3/12/1994,Kaiserslautern,Freiburg,1,0,Win,3,,,,,,,,,,,,,
1993-94,26,Kaiserslautern26,3/19/1994,Kaiserslautern,Leverkusen,2,3,Loss,0,,,,,,,,,,,,,
1993-94,27,Kaiserslautern27,3/26/1994,Kaiserslautern,Dresden,0,0,Draw,1,,,,,,,,,,,,,
1993-94,28,Kaiserslautern28,4/2/1994,Kaiserslautern,Stuttgart,1,1,Draw,1,,,,,,,,,,,,,
1993-94,29,Kaiserslautern29,4/6/1994,Kaiserslautern,Leipzig,1,0,Win,3,,,,,,,,,,,,,
1993-94,30,Kaiserslautern30,4/9/1994,Kaiserslautern,Duisburg,7,1,Win,3,,,,,,,,,,,,,
1993-94,31,Kaiserslautern31,4/16/1994,Kaiserslautern,Bayern Munich,4,0,Win,3,,,,,,,,,,,,,
1993-94,32,Kaiserslautern32,4/23/1994,Kaiserslautern,Wattenscheid,2,0,Win,3,,,,,,,,,,,,,
1993-94,33,Kaiserslautern33,4/30/1994,Kaiserslautern,Dortmund,2,0,Win,3,,,,,,,,,,,,,
1993-94,34,Kaiserslautern34,5/7/1994,Kaiserslautern,Hamburg,3,1,Win,3,,,,,,,,,,,,,
1993-94,1,Karlsruhe1,8/7/1993,Karlsruhe,Dortmund,1,2,Loss,0,,,,,,,,,,,,,
1993-94,2,Karlsruhe2,8/14/1993,Karlsruhe,Hamburg,2,0,Win,3,,,,,,,,,,,,,
1993-94,3,Karlsruhe3,8/21/1993,Karlsruhe,FC Koln,1,2,Loss,0,,,,,,,,,,,,,
1993-94,4,Karlsruhe4,8/28/1993,Karlsruhe,M'Gladbach,1,0,Win,3,,,,,,,,,,,,,
1993-94,5,Karlsruhe5,9/1/1993,Karlsruhe,Ein Frankfurt,1,3,Loss,0,,,,,,,,,,,,,
1993-94,6,Karlsruhe6,9/4/1993,Karlsruhe,Kaiserslautern,1,1,Draw,1,,,,,,,,,,,,,
1993-94,7,Karlsruhe7,9/8/1993,Karlsruhe,Nurnberg,1,1,Draw,1,,,,,,,,,,,,,
1993-94,8,Karlsruhe8,9/18/1993,Karlsruhe,Werder Bremen,0,3,Loss,0,,,,,,,,,,,,,
1993-94,9,Karlsruhe9,9/25/1993,Karlsruhe,Schalke 04,0,0,Draw,1,,,,,,,,,,,,,
1993-94,10,Karlsruhe10,10/2/1993,Karlsruhe,Freiburg,3,3,Draw,1,,,,,,,,,,,,,
1993-94,11,Karlsruhe11,10/9/1993,Karlsruhe,Leverkusen,2,0,Win,3,,,,,,,,,,,,,
1993-94,12,Karlsruhe12,10/16/1993,Karlsruhe,Dresden,1,1,Draw,1,,,,,,,,,,,,,
1993-94,13,Karlsruhe13,10/23/1993,Karlsruhe,Stuttgart,0,0,Draw,1,,,,,,,,,,,,,
1993-94,14,Karlsruhe14,10/30/1993,Karlsruhe,Leipzig,0,1,Loss,0,,,,,,,,,,,,,
1993-94,15,Karlsruhe15,11/6/1993,Karlsruhe,Duisburg,5,0,Win,3,,,,,,,,,,,,,
1993-94,16,Karlsruhe16,11/13/1993,Karlsruhe,Bayern Munich,0,1,Loss,0,,,,,,,,,,,,,
1993-94,17,Karlsruhe17,11/20/1993,Karlsruhe,Wattenscheid,2,0,Win,3,,,,,,,,,,,,,
1993-94,18,Karlsruhe18,11/27/1993,Karlsruhe,Dortmund,3,3,Draw,1,,,,,,,,,,,,,
1993-94,19,Karlsruhe19,12/4/1993,Karlsruhe,Hamburg,1,1,Draw,1,,,,,,,,,,,,,
1993-94,20,Karlsruhe20,12/11/1993,Karlsruhe,FC Koln,2,0,Win,3,,,,,,,,,,,,,
1993-94,21,Karlsruhe21,2/12/1994,Karlsruhe,M'Gladbach,2,1,Win,3,,,,,,,,,,,,,
1993-94,22,Karlsruhe22,2/19/1994,Karlsruhe,Ein Frankfurt,1,0,Win,3,,,,,,,,,,,,,
1993-94,23,Karlsruhe23,2/26/1994,Karlsruhe,Kaiserslautern,0,0,Draw,1,,,,,,,,,,,,,
1993-94,24,Karlsruhe24,3/5/1994,Karlsruhe,Nurnberg,3,2,Win,3,,,,,,,,,,,,,
1993-94,25,Karlsruhe25,3/12/1994,Karlsruhe,Werder Bremen,2,0,Win,3,,,,,,,,,,,,,
1993-94,26,Karlsruhe26,3/19/1994,Karlsruhe,Schalke 04,0,2,Loss,0,,,,,,,,,,,,,
1993-94,27,Karlsruhe27,3/26/1994,Karlsruhe,Freiburg,2,1,Win,3,,,,,,,,,,,,,
1993-94,28,Karlsruhe28,4/2/1994,Karlsruhe,Leverkusen,1,3,Loss,0,,,,,,,,,,,,,
1993-94,29,Karlsruhe29,4/6/1994,Karlsruhe,Dresden,1,0,Win,3,,,,,,,,,,,,,
1993-94,30,Karlsruhe30,4/9/1994,Karlsruhe,Stuttgart,0,3,Loss,0,,,,,,,,,,,,,
1993-94,31,Karlsruhe31,4/16/1994,Karlsruhe,Leipzig,3,2,Win,3,,,,,,,,,,,,,
1993-94,32,Karlsruhe32,4/23/1994,Karlsruhe,Duisburg,2,1,Win,3,,,,,,,,,,,,,
1993-94,33,Karlsruhe33,4/30/1994,Karlsruhe,Bayern Munich,1,1,Draw,1,,,,,,,,,,,,,
1993-94,34,Karlsruhe34,5/7/1994,Karlsruhe,Wattenscheid,1,5,Loss,0,,,,,,,,,,,,,
1993-94,1,Leipzig1,8/7/1993,Leipzig,Dresden,3,3,Draw,1,,,,,,,,,,,,,
1993-94,2,Leipzig2,8/14/1993,Leipzig,Stuttgart,0,0,Draw,1,,,,,,,,,,,,,
1993-94,3,Leipzig3,8/21/1993,Leipzig,Werder Bremen,1,3,Loss,0,,,,,,,,,,,,,
1993-94,4,Leipzig4,8/28/1993,Leipzig,Duisburg,1,1,Draw,1,,,,,,,,,,,,,
1993-94,5,Leipzig5,9/1/1993,Leipzig,Bayern Munich,0,3,Loss,0,,,,,,,,,,,,,
1993-94,6,Leipzig6,9/4/1993,Leipzig,Wattenscheid,0,0,Draw,1,,,,,,,,,,,,,
1993-94,7,Leipzig7,9/8/1993,Leipzig,Dortmund,1,0,Win,3,,,,,,,,,,,,,
1993-94,8,Leipzig8,9/18/1993,Leipzig,Hamburg,1,4,Loss,0,,,,,,,,,,,,,
1993-94,9,Leipzig9,9/25/1993,Leipzig,FC Koln,1,3,Loss,0,,,,,,,,,,,,,
1993-94,10,Leipzig10,10/2/1993,Leipzig,M'Gladbach,1,1,Draw,1,,,,,,,,,,,,,
1993-94,11,Leipzig11,10/9/1993,Leipzig,Ein Frankfurt,1,2,Loss,0,,,,,,,,,,,,,
1993-94,12,Leipzig12,10/16/1993,Leipzig,Kaiserslautern,0,0,Draw,1,,,,,,,,,,,,,
1993-94,13,Leipzig13,10/23/1993,Leipzig,Nurnberg,0,5,Loss,0,,,,,,,,,,,,,
1993-94,14,Leipzig14,10/30/1993,Leipzig,Karlsruhe,1,0,Win,3,,,,,,,,,,,,,
1993-94,15,Leipzig15,11/6/1993,Leipzig,Schalke 04,1,3,Loss,0,,,,,,,,,,,,,
1993-94,16,Leipzig16,11/13/1993,Leipzig,Freiburg,2,2,Draw,1,,,,,,,,,,,,,
1993-94,17,Leipzig17,11/20/1993,Leipzig,Leverkusen,1,3,Loss,0,,,,,,,,,,,,,
1993-94,18,Leipzig18,11/27/1993,Leipzig,Dresden,0,1,Loss,0,,,,,,,,,,,,,
1993-94,19,Leipzig19,12/4/1993,Leipzig,Stuttgart,0,0,Draw,1,,,,,,,,,,,,,
1993-94,20,Leipzig20,12/11/1993,Leipzig,Werder Bremen,1,1,Draw,1,,,,,,,,,,,,,
1993-94,21,Leipzig21,2/12/1994,Leipzig,Duisburg,1,2,Loss,0,,,,,,,,,,,,,
1993-94,22,Leipzig22,2/19/1994,Leipzig,Bayern Munich,1,3,Loss,0,,,,,,,,,,,,,
1993-94,23,Leipzig23,2/26/1994,Leipzig,Wattenscheid,2,2,Draw,1,,,,,,,,,,,,,
1993-94,24,Leipzig24,3/5/1994,Leipzig,Dortmund,2,3,Loss,0,,,,,,,,,,,,,
1993-94,25,Leipzig25,3/12/1994,Leipzig,Hamburg,0,3,Loss,0,,,,,,,,,,,,,
1993-94,26,Leipzig26,3/19/1994,Leipzig,FC Koln,2,3,Loss,0,,,,,,,,,,,,,
1993-94,27,Leipzig27,3/26/1994,Leipzig,M'Gladbach,1,6,Loss,0,,,,,,,,,,,,,
1993-94,28,Leipzig28,4/2/1994,Leipzig,Ein Frankfurt,1,0,Win,3,,,,,,,,,,,,,
1993-94,29,Leipzig29,4/6/1994,Leipzig,Kaiserslautern,0,1,Loss,0,,,,,,,,,,,,,
1993-94,30,Leipzig30,4/9/1994,Leipzig,Nurnberg,0,2,Loss,0,,,,,,,,,,,,,
1993-94,31,Leipzig31,4/16/1994,Leipzig,Karlsruhe,2,3,Loss,0,,,,,,,,,,,,,
1993-94,32,Leipzig32,4/23/1994,Leipzig,Schalke 04,2,2,Draw,1,,,,,,,,,,,,,
1993-94,33,Leipzig33,4/30/1994,Leipzig,Freiburg,0,1,Loss,0,,,,,,,,,,,,,
1993-94,34,Leipzig34,5/7/1994,Leipzig,Leverkusen,2,3,Loss,0,,,,,,,,,,,,,
1993-94,1,Leverkusen1,8/7/1993,Leverkusen,Duisburg,2,2,Draw,1,,,,,,,,,,,,,
1993-94,2,Leverkusen2,8/14/1993,Leverkusen,Bayern Munich,2,1,Win,3,,,,,,,,,,,,,
1993-94,3,Leverkusen3,8/21/1993,Leverkusen,Wattenscheid,2,1,Win,3,,,,,,,,,,,,,
1993-94,4,Leverkusen4,8/28/1993,Leverkusen,Dortmund,2,1,Win,3,,,,,,,,,,,,,
1993-94,5,Leverkusen5,9/1/1993,Leverkusen,Hamburg,1,2,Loss,0,,,,,,,,,,,,,
1993-94,6,Leverkusen6,9/4/1993,Leverkusen,FC Koln,2,1,Win,3,,,,,,,,,,,,,
1993-94,7,Leverkusen7,9/8/1993,Leverkusen,M'Gladbach,2,2,Draw,1,,,,,,,,,,,,,
1993-94,8,Leverkusen8,9/18/1993,Leverkusen,Ein Frankfurt,2,2,Draw,1,,,,,,,,,,,,,
1993-94,9,Leverkusen9,9/25/1993,Leverkusen,Kaiserslautern,2,3,Loss,0,,,,,,,,,,,,,
1993-94,10,Leverkusen10,10/2/1993,Leverkusen,Nurnberg,4,0,Win,3,,,,,,,,,,,,,
1993-94,11,Leverkusen11,10/9/1993,Leverkusen,Karlsruhe,0,2,Loss,0,,,,,,,,,,,,,
1993-94,12,Leverkusen12,10/16/1993,Leverkusen,Schalke 04,5,1,Win,3,,,,,,,,,,,,,
1993-94,13,Leverkusen13,10/23/1993,Leverkusen,Freiburg,0,1,Loss,0,,,,,,,,,,,,,
1993-94,14,Leverkusen14,10/30/1993,Leverkusen,Werder Bremen,2,2,Draw,1,,,,,,,,,,,,,
1993-94,15,Leverkusen15,11/6/1993,Leverkusen,Dresden,1,1,Draw,1,,,,,,,,,,,,,
1993-94,16,Leverkusen16,11/13/1993,Leverkusen,Stuttgart,4,1,Win,3,,,,,,,,,,,,,
1993-94,17,Leverkusen17,11/20/1993,Leverkusen,Leipzig,3,1,Win,3,,,,,,,,,,,,,
1993-94,18,Leverkusen18,11/27/1993,Leverkusen,Duisburg,2,1,Win,3,,,,,,,,,,,,,
1993-94,19,Leverkusen19,12/4/1993,Leverkusen,Bayern Munich,1,1,Draw,1,,,,,,,,,,,,,
1993-94,20,Leverkusen20,12/11/1993,Leverkusen,Wattenscheid,1,1,Draw,1,,,,,,,,,,,,,
1993-94,21,Leverkusen21,2/12/1994,Leverkusen,Dortmund,0,1,Loss,0,,,,,,,,,,,,,
1993-94,22,Leverkusen22,2/19/1994,Leverkusen,Hamburg,1,2,Loss,0,,,,,,,,,,,,,
1993-94,23,Leverkusen23,2/26/1994,Leverkusen,FC Koln,1,1,Draw,1,,,,,,,,,,,,,
1993-94,24,Leverkusen24,3/5/1994,Leverkusen,M'Gladbach,0,1,Loss,0,,,,,,,,,,,,,
1993-94,25,Leverkusen25,3/12/1994,Leverkusen,Ein Frankfurt,0,2,Loss,0,,,,,,,,,,,,,
1993-94,26,Leverkusen26,3/19/1994,Leverkusen,Kaiserslautern,3,2,Win,3,,,,,,,,,,,,,
1993-94,27,Leverkusen27,3/26/1994,Leverkusen,Nurnberg,3,2,Win,3,,,,,,,,,,,,,
1993-94,28,Leverkusen28,4/2/1994,Leverkusen,Karlsruhe,3,1,Win,3,,,,,,,,,,,,,
1993-94,29,Leverkusen29,4/6/1994,Leverkusen,Schalke 04,1,1,Draw,1,,,,,,,,,,,,,
1993-94,30,Leverkusen30,4/9/1994,Leverkusen,Freiburg,2,1,Win,3,,,,,,,,,,,,,
1993-94,31,Leverkusen31,4/16/1994,Leverkusen,Werder Bremen,1,2,Loss,0,,,,,,,,,,,,,
1993-94,32,Leverkusen32,4/23/1994,Leverkusen,Dresden,1,1,Draw,1,,,,,,,,,,,,,
1993-94,33,Leverkusen33,4/30/1994,Leverkusen,Stuttgart,1,1,Draw,1,,,,,,,,,,,,,
1993-94,34,Leverkusen34,5/7/1994,Leverkusen,Leipzig,3,2,Win,3,,,,,,,,,,,,,
1993-94,1,M'Gladbach1,8/7/1993,M'Gladbach,Ein Frankfurt,0,4,Loss,0,,,,,,,,,,,,,
1993-94,2,M'Gladbach2,8/14/1993,M'Gladbach,Kaiserslautern,2,4,Loss,0,,,,,,,,,,,,,
1993-94,3,M'Gladbach3,8/21/1993,M'Gladbach,Nurnberg,2,0,Win,3,,,,,,,,,,,,,
1993-94,4,M'Gladbach4,8/28/1993,M'Gladbach,Karlsruhe,0,1,Loss,0,,,,,,,,,,,,,
1993-94,5,M'Gladbach5,9/1/1993,M'Gladbach,Schalke 04,3,2,Win,3,,,,,,,,,,,,,
1993-94,6,M'Gladbach6,9/4/1993,M'Gladbach,Freiburg,3,3,Draw,1,,,,,,,,,,,,,
1993-94,7,M'Gladbach7,9/8/1993,M'Gladbach,Leverkusen,2,2,Draw,1,,,,,,,,,,,,,
1993-94,8,M'Gladbach8,9/18/1993,M'Gladbach,Dresden,1,2,Loss,0,,,,,,,,,,,,,
1993-94,9,M'Gladbach9,9/25/1993,M'Gladbach,Stuttgart,0,2,Loss,0,,,,,,,,,,,,,
1993-94,10,M'Gladbach10,10/2/1993,M'Gladbach,Leipzig,1,1,Draw,1,,,,,,,,,,,,,
1993-94,11,M'Gladbach11,10/9/1993,M'Gladbach,Duisburg,4,1,Win,3,,,,,,,,,,,,,
1993-94,12,M'Gladbach12,10/16/1993,M'Gladbach,Bayern Munich,1,3,Loss,0,,,,,,,,,,,,,
1993-94,13,M'Gladbach13,10/23/1993,M'Gladbach,Wattenscheid,3,3,Draw,1,,,,,,,,,,,,,
1993-94,14,M'Gladbach14,10/30/1993,M'Gladbach,Dortmund,0,3,Loss,0,,,,,,,,,,,,,
1993-94,15,M'Gladbach15,11/6/1993,M'Gladbach,Hamburg,2,2,Draw,1,,,,,,,,,,,,,
1993-94,16,M'Gladbach16,11/13/1993,M'Gladbach,FC Koln,4,0,Win,3,,,,,,,,,,,,,
1993-94,17,M'Gladbach17,11/20/1993,M'Gladbach,Werder Bremen,3,2,Win,3,,,,,,,,,,,,,
1993-94,18,M'Gladbach18,11/27/1993,M'Gladbach,Ein Frankfurt,3,0,Win,3,,,,,,,,,,,,,
1993-94,19,M'Gladbach19,12/4/1993,M'Gladbach,Kaiserslautern,3,1,Win,3,,,,,,,,,,,,,
1993-94,20,M'Gladbach20,12/11/1993,M'Gladbach,Nurnberg,4,2,Win,3,,,,,,,,,,,,,
1993-94,21,M'Gladbach21,2/12/1994,M'Gladbach,Karlsruhe,1,2,Loss,0,,,,,,,,,,,,,
1993-94,22,M'Gladbach22,2/19/1994,M'Gladbach,Schalke 04,1,2,Loss,0,,,,,,,,,,,,,
1993-94,23,M'Gladbach23,2/26/1994,M'Gladbach,Freiburg,1,1,Draw,1,,,,,,,,,,,,,
1993-94,24,M'Gladbach24,3/5/1994,M'Gladbach,Leverkusen,1,0,Win,3,,,,,,,,,,,,,
1993-94,25,M'Gladbach25,3/12/1994,M'Gladbach,Dresden,2,1,Win,3,,,,,,,,,,,,,
1993-94,26,M'Gladbach26,3/19/1994,M'Gladbach,Stuttgart,0,3,Loss,0,,,,,,,,,,,,,
1993-94,27,M'Gladbach27,3/26/1994,M'Gladbach,Leipzig,6,1,Win,3,,,,,,,,,,,,,
1993-94,28,M'Gladbach28,4/2/1994,M'Gladbach,Duisburg,0,2,Loss,0,,,,,,,,,,,,,
1993-94,29,M'Gladbach29,4/6/1994,M'Gladbach,Bayern Munich,2,0,Win,3,,,,,,,,,,,,,
1993-94,30,M'Gladbach30,4/9/1994,M'Gladbach,Wattenscheid,1,3,Loss,0,,,,,,,,,,,,,
1993-94,31,M'Gladbach31,4/16/1994,M'Gladbach,Dortmund,0,0,Draw,1,,,,,,,,,,,,,
1993-94,32,M'Gladbach32,4/23/1994,M'Gladbach,Hamburg,3,1,Win,3,,,,,,,,,,,,,
1993-94,33,M'Gladbach33,4/30/1994,M'Gladbach,FC Koln,4,1,Win,3,,,,,,,,,,,,,
1993-94,34,M'Gladbach34,5/7/1994,M'Gladbach,Werder Bremen,2,4,Loss,0,,,,,,,,,,,,,
1993-94,1,Nurnberg1,8/7/1993,Nurnberg,Hamburg,2,5,Loss,0,,,,,,,,,,,,,
1993-94,2,Nurnberg2,8/14/1993,Nurnberg,FC Koln,1,0,Win,3,,,,,,,,,,,,,
1993-94,3,Nurnberg3,8/21/1993,Nurnberg,M'Gladbach,0,2,Loss,0,,,,,,,,,,,,,
1993-94,4,Nurnberg4,8/28/1993,Nurnberg,Ein Frankfurt,1,5,Loss,0,,,,,,,,,,,,,
1993-94,5,Nurnberg5,9/1/1993,Nurnberg,Kaiserslautern,1,3,Loss,0,,,,,,,,,,,,,
1993-94,6,Nurnberg6,9/4/1993,Nurnberg,Werder Bremen,0,1,Loss,0,,,,,,,,,,,,,
1993-94,7,Nurnberg7,9/8/1993,Nurnberg,Karlsruhe,1,1,Draw,1,,,,,,,,,,,,,
1993-94,8,Nurnberg8,9/18/1993,Nurnberg,Schalke 04,2,1,Win,3,,,,,,,,,,,,,
1993-94,9,Nurnberg9,9/25/1993,Nurnberg,Freiburg,2,2,Draw,1,,,,,,,,,,,,,
1993-94,10,Nurnberg10,10/2/1993,Nurnberg,Leverkusen,0,4,Loss,0,,,,,,,,,,,,,
1993-94,11,Nurnberg11,10/9/1993,Nurnberg,Dresden,3,0,Win,3,,,,,,,,,,,,,
1993-94,12,Nurnberg12,10/16/1993,Nurnberg,Stuttgart,0,1,Loss,0,,,,,,,,,,,,,
1993-94,13,Nurnberg13,10/23/1993,Nurnberg,Leipzig,5,0,Win,3,,,,,,,,,,,,,
1993-94,14,Nurnberg14,10/30/1993,Nurnberg,Duisburg,0,1,Loss,0,,,,,,,,,,,,,
1993-94,15,Nurnberg15,11/6/1993,Nurnberg,Bayern Munich,2,0,Win,3,,,,,,,,,,,,,
1993-94,16,Nurnberg16,11/13/1993,Nurnberg,Wattenscheid,1,2,Loss,0,,,,,,,,,,,,,
1993-94,17,Nurnberg17,11/20/1993,Nurnberg,Dortmund,0,0,Draw,1,,,,,,,,,,,,,
1993-94,18,Nurnberg18,11/27/1993,Nurnberg,Hamburg,0,1,Loss,0,,,,,,,,,,,,,
1993-94,19,Nurnberg19,12/4/1993,Nurnberg,FC Koln,1,0,Win,3,,,,,,,,,,,,,
1993-94,20,Nurnberg20,12/11/1993,Nurnberg,M'Gladbach,2,4,Loss,0,,,,,,,,,,,,,
1993-94,21,Nurnberg21,2/12/1994,Nurnberg,Ein Frankfurt,1,1,Draw,1,,,,,,,,,,,,,
1993-94,22,Nurnberg22,2/19/1994,Nurnberg,Kaiserslautern,0,2,Loss,0,,,,,,,,,,,,,
1993-94,23,Nurnberg23,2/26/1994,Nurnberg,Werder Bremen,2,2,Draw,1,,,,,,,,,,,,,
1993-94,24,Nurnberg24,3/5/1994,Nurnberg,Karlsruhe,2,3,Loss,0,,,,,,,,,,,,,
1993-94,25,Nurnberg25,3/12/1994,Nurnberg,Schalke 04,1,0,Win,3,,,,,,,,,,,,,
1993-94,26,Nurnberg26,3/19/1994,Nurnberg,Freiburg,0,0,Draw,1,,,,,,,,,,,,,
1993-94,27,Nurnberg27,3/26/1994,Nurnberg,Leverkusen,2,3,Loss,0,,,,,,,,,,,,,
1993-94,28,Nurnberg28,4/2/1994,Nurnberg,Dresden,1,1,Draw,1,,,,,,,,,,,,,
1993-94,29,Nurnberg29,4/3/1994,Nurnberg,Bayern Munich,0,5,Loss,0,,,,,,,,,,,,,
1993-94,30,Nurnberg30,4/6/1994,Nurnberg,Stuttgart,1,0,Win,3,,,,,,,,,,,,,
1993-94,31,Nurnberg31,4/9/1994,Nurnberg,Leipzig,2,0,Win,3,,,,,,,,,,,,,
1993-94,32,Nurnberg32,4/16/1994,Nurnberg,Duisburg,0,0,Draw,1,,,,,,,,,,,,,
1993-94,33,Nurnberg33,4/30/1994,Nurnberg,Wattenscheid,4,1,Win,3,,,,,,,,,,,,,
1993-94,34,Nurnberg34,5/7/1994,Nurnberg,Dortmund,1,4,Loss,0,,,,,,,,,,,,,
1993-94,1,Schalke 041,8/7/1993,Schalke 04,Wattenscheid,0,3,Loss,0,,,,,,,,,,,,,
1993-94,2,Schalke 042,8/14/1993,Schalke 04,Dortmund,1,0,Win,3,,,,,,,,,,,,,
1993-94,3,Schalke 043,8/21/1993,Schalke 04,Hamburg,1,4,Loss,0,,,,,,,,,,,,,
1993-94,4,Schalke 044,8/28/1993,Schalke 04,FC Koln,1,2,Loss,0,,,,,,,,,,,,,
1993-94,5,Schalke 045,9/1/1993,Schalke 04,M'Gladbach,2,3,Loss,0,,,,,,,,,,,,,
1993-94,6,Schalke 046,9/4/1993,Schalke 04,Ein Frankfurt,1,3,Loss,0,,,,,,,,,,,,,
1993-94,7,Schalke 047,9/8/1993,Schalke 04,Kaiserslautern,0,0,Draw,1,,,,,,,,,,,,,
1993-94,8,Schalke 048,9/18/1993,Schalke 04,Nurnberg,1,2,Loss,0,,,,,,,,,,,,,
1993-94,9,Schalke 049,9/25/1993,Schalke 04,Karlsruhe,0,0,Draw,1,,,,,,,,,,,,,
1993-94,10,Schalke 0410,10/2/1993,Schalke 04,Werder Bremen,1,1,Draw,1,,,,,,,,,,,,,
1993-94,11,Schalke 0411,10/9/1993,Schalke 04,Freiburg,1,3,Loss,0,,,,,,,,,,,,,
1993-94,12,Schalke 0412,10/16/1993,Schalke 04,Leverkusen,1,5,Loss,0,,,,,,,,,,,,,
1993-94,13,Schalke 0413,10/23/1993,Schalke 04,Dresden,0,0,Draw,1,,,,,,,,,,,,,
1993-94,14,Schalke 0414,10/30/1993,Schalke 04,Stuttgart,0,3,Loss,0,,,,,,,,,,,,,
